Total.Residence.hrs,Num.animals,Revisits,coordIdx,Avg.Residence.hrs,x,y
23.82,2,11,1728,11.9,503671.834491375,4209386.29360598
9.77,1,5,1729,9.8,503315.472287319,4209535.92723336
50.41,2,15,1730,25.2,503123.279036623,4209548.05621646
44.53,1,15,1731,44.5,503112.719393563,4209623.50004668
45.21,1,14,1732,45.2,503150.446506968,4209644.59554677
66.7,2,21,1733,33.4,503129.399917019,4209605.75398658
4.61,1,4,1734,4.6,503646.309538963,4209553.8207849
7.05,1,2,1735,7,504635.12091137,4209927.12388391
6.94,1,2,1736,6.9,504643.896857532,4209926.01934543
0.77,1,2,1737,0.8,504243.015494899,4209636.2142544
3.85,1,2,1738,3.8,503693.019638742,4209114.46906535
23.28,2,7,1739,11.6,503190.912388788,4209393.85809493
10.67,1,4,1740,10.7,503248.020120579,4209231.88968435
9.85,1,4,1741,9.8,503248.899051684,4209228.56145367
26.77,1,9,1742,26.8,503517.323740006,4209513.82118674
42.84,1,11,1743,42.8,504498.073088117,4210204.42930437
44.98,1,11,1744,45,504500.708041147,4210199.99264261
0.43,1,1,1745,0.4,504930.673352206,4210217.99360733
27.99,1,7,1746,28,503215.53208332,4209274.03884116
27.65,1,10,1747,27.6,503214.644867385,4209298.44808402
